matrix           0
      25875,-       4041,-      14701,       3556,-       2335,
-       4040,      23924,-       7059,-       1946,       5701,
-      14701,-       7059,      67144,       2542,       1192,
       3556,-       1946,       2542,    3429344,-     491529,
-       2336,       5701,       1192,-     491529,    5397012,
matrix           1
      62669,-      17249,-      24159,       3036,-       5958,
-      17249,      51333,-      25989,-       6511,       8343,
-      24161,-      25989,     117090,       6553,-       2002,
       3035,-       6512,       6553,    5579222,-    1516379,
-       5958,       8342,-       2004,-    1516379,    7581410,
matrix           2
      31234,-       6145,-      15893,-       7166,        926,
-       6143,      27480,-      10675,       3788,        854,
-      15896,-      10675,      72444,       3935,       7308,
-       7165,       3788,       3934,    3786434,-     733213,
        926,        854,       7308,-     733213,    5616334,
matrix           3
      38405,-       8543,-      17862,       5972,-       4125,
-       8542,      32598,-      14482,        735,       5310,
-      17862,-      14482,      81871,        396,      13660,
       5971,        734,        395,    4245639,-     957059,
-       4126,       5310,      13660,-     957059,    6082515,
matrix           4
      47714,-      11857,-      19494,-       2512,       1150,
-      11856,      38455,-      18291,-        552,-        627,
-      19495,-      18291,      89007,       1055,-       4752,
-       2513,-        552,       1054,    4768820,-    1184765,
       1149,-        628,-       4753,-    1184765,    6431828,
matrix           5
      58681,-      16198,-      20795,       2501,-       3004,
-      16196,      45992,-      20683,       1769,-       4122,
-      20798,-      20683,      95430,-       4774,      17398,
       2500,       1768,-       4775,    5374957,-    1314866,
-       3006,-       4121,      17398,-    1314866,    6803071,
matrix           6
      12639,       1766,-       7485,       2144,-        523,
       1767,      12097,       3345,        101,-       1927,
-       7484,       3345,      34976,-       2792,       2018,
       2144,        101,-       2791,    2220392,     309117,
-        523,-       1927,       2019,     309117,    3646053,
matrix           7
      12802,       1338,-       7858,-        879,        778,
       1338,      12107,       2161,       1021,-       2068,
-       7857,       2161,      35473,-        919,-        721,
-        878,       1021,-        919,    2254980,     213377,
        778,-       2068,-        721,     213377,    3698416,
matrix           8
      12956,        629,-       8123,-       1260,-        566,
        630,      11909,       1187,        323,-       1543,
-       8123,       1187,      35205,-        392,       3250,
-       1260,        323,-        392,    2276415,     105165,
-        566,-       1542,       3250,     105165,    3683854,
matrix           9
      13131,-          6,-       8209,-       1439,-        128,
-          6,      11900,        244,-       1560,       2615,
-       8209,        244,      34912,       2931,-       4535,
-       1440,-       1560,       2931,    2283378,      22027,
-        127,       2615,-       4535,      22027,    3647525,
matrix          10
      14492,-        689,-       8788,       1917,         46,
-        689,      12763,-       1483,-        563,-       2277,
-       8788,-       1483,      36582,-       2930,-       1735,
       1916,-        564,-       2930,    2423690,-     133521,
         45,-       2277,-       1735,-     133521,    3754656,
matrix          11
      15938,-       1636,-       9149,-        634,-        972,
-       1635,      14087,-       2951,       1164,       5480,
-       9149,-       2951,      38814,       4428,       5997,
-        634,       1164,       4428,    2536887,-     263559,
-        970,       5480,       5997,-     263559,    3902930,
matrix          12
      18886,-       2698,-       9982,       3840,-        904,
-       2698,      16109,-       4654,        435,-       1231,
-       9983,-       4654,      42015,-       3194,       5028,
       3839,        435,-       3194,    2785615,-     399693,
-        905,-       1231,       5026,-     399693,    4098983,
matrix          13
      53059,-      14276,-      18642,-       5628,       3724,
-      14274,      38997,-      16919,       3454,-        136,
-      18644,-      16919,      79582,       1640,-       3762,
-       5629,       3452,       1639,    4990517,-    1212178,
       3724,-        137,-       3763,-    1212178,    6090183,
matrix          14
      23785,-       4488,-      11419,-        330,-       1870,
-       4488,      19325,-       6944,-        472,-       1601,
-      11421,-       6944,      47857,-        945,       6426,
-        331,-        473,-        945,    3172939,-     605284,
-       1871,-       1602,       6424,-     605284,    4457209,
matrix          15
      31170,-       6719,-      12981,       1357,       2064,
-       6718,      23437,-       9024,        475,-       1907,
-      12984,-       9024,      52248,-       2210,-       4637,
       1356,        474,-       2210,    3703361,-     755111,
       2061,-       1908,-       4639,-     755111,    4711100,
matrix          16
      38229,-       9159,-      14181,-       5162,        876,
-       9158,      27960,-      11774,       2749,       1645,
-      14184,-      11774,      58046,       2879,       2705,
-       5162,       2749,       2879,    4107761,-     933996,
        875,       1644,       2704,-     933996,    5030397,
matrix          17
      47763,-      12346,-      15981,       3844,-       4480,
-      12346,      34317,-      14453,-       3562,       4421,
-      15982,-      14453,      66242,       2363,       2718,
       3842,-       3562,       2362,    4670474,-    1084964,
-       4481,       4420,       2717,-    1084964,    5498703,
matrix          18
       9936,       1370,-       5229,       1561,-         92,
       1372,       8448,       2294,-        369,-       1545,
-       5229,       2294,      21826,-       2111,-       1210,
       1561,-        369,-       2110,    1898184,     258415,
-         92,-       1544,-       1210,     258415,    2780767,
matrix          19
       9888,       1044,-       5388,-       3193,-       1966,
       1045,       8182,       1649,-       1411,-       1012,
-       5386,       1649,      21473,        860,       3064,
-       3193,-       1411,        860,    1901520,     200329,
-       1965,-       1011,       3064,     200329,    2754854,
matrix          20
       9420,        530,-       5298,-       1075,-        442,
        532,       7930,        860,        407,-       1984,
-       5298,        860,      21031,-        887,       2608,
-       1074,        407,-        887,    1853888,      96363,
-        442,-       1983,       2608,      96363,    2740825,
matrix          21
       9698,          7,-       5518,-        994,        882,
          8,       7972,        196,        449,-       1919,
-       5518,        196,      21291,-        910,-       2095,
-        993,        449,-        910,    1886091,       6488,
        881,-       1919,-       2094,       6488,    2757365,
matrix          22
       1206,-         82,-        629,       2121,        725,
-         80,        899,-        164,        369,-        115,
-        630,-        164,       2274,-       1276,-          7,
       2121,        367,-       1276,     687409,     117577,
        725,-        114,-          6,     117577,     943573,
matrix          23
      10428,-        379,-       5765,-       3479,-         27,
-        377,       8393,-        770,        652,-       1434,
-       5765,-        770,      21889,        782,       2221,
-       3478,        652,        782,    1960937,-      86324,
-         27,-       1433,       2221,-      86324,    2790254,
matrix          24
       1366,-        194,-        656,-        242,-        112,
-        194,       1049,-        262,-         33,        168,
-        656,-        262,       2492,        263,         25,
-        241,-         32,        263,     736606,      78344,
-        111,        168,         26,      78344,     981058,
matrix          25
      12818,-       1352,-       6508,        162,-        297,
-       1352,      10086,-       1981,-       1351,        573,
-       6509,-       1981,      24643,        515,-       2774,
        161,-       1351,        515,    2195963,-     214331,
-        298,        573,-       2775,-     214331,    3022473,
matrix          26
      17994,-       2998,-       7827,-        391,-        560,
-       2998,      13290,-       3865,-       2119,        993,
-       7827,-       3865,      29119,       1327,-       3810,
-        392,-       2119,       1327,    2647809,-     402597,
-        562,        991,-       3811,-     402597,    3356382,
matrix          27
      24511,-       4750,-       9535,       5199,-       3926,
-       4748,      16645,-       5715,-       1996,-       2252,
-       9537,-       5715,      34039,-       3673,       8521,
       5198,-       1997,-       3673,    3171129,-     581812,
-       3927,-       2250,       8520,-     581812,    3708189,
matrix          28
      31694,-       6662,-      10872,       5924,-       3003,
-       6663,      20781,-       7854,-       3586,        108,
-      10873,-       7854,      38852,-       1555,        903,
       5923,-       3587,-       1556,    3672688,-     725938,
-       3004,        108,        901,-     725938,    4032632,
matrix          29
      40240,-       9400,-      12030,       5635,-       4700,
-       9400,      25458,-      10044,-       4583,       4474,
-      12031,-      10044,      43441,       2157,        907,
       5635,-       4583,       2157,    4182634,-     893934,
-       4702,       4473,        906,-     893934,    4293663,
matrix          30
       1306,-        106,-        603,       2878,       1383,
-        105,        873,-        215,        758,         96,
-        603,-        215,       1966,-       1582,-        666,
       2877,        756,-       1581,     686629,      99005,
       1382,         96,-        666,      99005,     921201,
matrix          31
      10474,-        905,-       5192,-        956,        840,
-        904,       7678,-       1083,-        817,-        422,
-       5192,-       1083,      18190,        247,-       4865,
-        957,-        817,        247,    1943140,-     150874,
        839,-        423,-       4866,-     150874,    2524633,
matrix          32
      11412,-       1081,-       5457,-        127,-        251,
-       1081,       8237,-       1464,-       1047,        148,
-       5458,-       1464,      18939,        291,-       1833,
-        128,-       1047,        291,    2037326,-     178624,
-        252,        147,-       1833,-     178624,    2589901,
matrix          33
       7913,       1042,-       3684,-        747,-       1052,
       1044,       5773,       1524,-        992,-       1030,
-       3684,       1524,      13274,-        578,        623,
-        747,-        992,-        577,    1634701,     222508,
-       1051,-       1029,        624,     222508,    2087556,
matrix          34
       7433,        697,-       3624,-        747,-        405,
        697,       5451,        946,-        457,-        742,
-       3623,        946,      12762,-        245,          1,
-        747,-        457,-        245,    1577267,     135656,
-        405,-        742,          1,     135656,    2042693,
matrix          35
       6964,        403,-       3521,-       1365,-        197,
        404,       5243,        649,-         66,         16,
-       3521,        649,      12547,        707,        475,
-       1365,-         66,        707,    1516644,      93238,
-        196,         16,        476,      93238,    2029391,
matrix          36
       7175,         93,-       3624,        154,-         62,
         94,       5243,        317,         22,        329,
-       3624,        317,      12445,        179,        283,
        154,         22,        179,    1551522,      43376,
-         62,        330,        283,      43376,    2013956,
matrix          37
       7703,-        287,-       3814,-        290,        777,
-        286,       5533,-        269,        206,-        167,
-       3814,-        269,      12900,         19,-       2072,
-        290,        206,         19,    1612876,-      51843,
        776,-        167,-       2073,-      51843,    2060026,
matrix          38
       9133,-        601,-       4346,-        102,         32,
-        600,       6398,-        820,        161,-        205,
-       4346,-        820,      14468,-        122,        335,
-        102,        161,-        122,    1789409,-     108876,
         32,-        205,        334,-     108876,    2227033,
matrix          39
      10963,-       1149,-       4794,       2190,-        578,
-       1149,       7406,-       1550,-       1617,        322,
-       4795,-       1550,      15720,-        551,-       2142,
       2189,-       1617,-        551,    1970951,-     205352,
-        579,        321,-       2142,-     205352,    2335770,
matrix          40
      14262,-       2056,-       5710,        702,        751,
-       2056,       9161,-       2551,        142,       1232,
-       5710,-       2551,      18439,        612,-       2401,
        701,        142,        611,    2276127,-     335032,
        749,       1231,-       2401,-     335032,    2571672,
matrix          41
      18901,-       3164,-       6901,-        576,-        609,
-       3164,      11917,-       4005,-       1523,-       1012,
-       6903,-       4005,      22620,-        175,-        993,
-        578,-       1523,-        176,    2675386,-     456752,
-        610,-       1013,-        994,-     456752,    2924333,
matrix          42
      25959,-       5248,-       8266,        475,-        175,
-       5247,      14977,-       5170,        516,-        220,
-       8268,-       5170,      25907,-        484,       1533,
        475,        515,-        485,    3183259,-     626213,
-        176,-        222,       1532,-     626213,    3184544,
matrix          43
      33899,-       7168,-       9738,-       4666,       1530,
-       7167,      19050,-       6873,-        281,       4245,
-       9740,-       6873,      30510,       4921,-       6628,
-       4666,-        281,       4920,    3723838,-     742432,
       1529,       4243,-       6629,-     742432,    3533515,
matrix          44
       5983,        757,-       2513,-        776,-        553,
        759,       3967,        889,        344,        873,
-       2511,        889,       8167,       1072,       2762,
-        774,        345,       1072,    1358856,     164204,
-        551,        876,       2762,     164204,    1583916,
matrix          45
       5683,        525,-       2471,       1100,        528,
        527,       3749,        630,         96,-        466,
-       2470,        630,       7827,-        849,-       1490,
       1101,         96,-        848,    1325074,     119432,
        527,-        466,-       1490,     119432,    1547475,
matrix          46
       5204,        315,-       2350,        607,-        513,
        317,       3458,        326,-        107,        565,
-       2350,        326,       7396,        159,       1436,
        607,-        106,        159,    1252739,      67806,
-        511,        567,       1436,      67806,    1488147,
matrix          47
       5246,         84,-       2381,        468,-        164,
         86,       3446,        110,-        345,        404,
-       2381,        110,       7355,         94,-        288,
        467,-        345,         94,    1264528,      19181,
-        163,        404,-        288,      19181,    1485253,
matrix          48
       5629,-        141,-       2530,       1444,        591,
-        141,       3687,-        159,         64,        219,
-       2530,-        159,       7787,-        476,-       1698,
       1443,         63,-        476,    1319084,-      37013,
        590,        218,-       1698,-      37013,    1542431,
matrix          49
       6692,-        351,-       2896,        352,         45,
-        350,       4239,-        413,        731,        105,
-       2897,-        413,       8691,-        117,       1497,
        353,        731,-        117,    1458153,-      70424,
         47,        105,       1496,-      70424,    1651523,
matrix          50
       8180,-        701,-       3325,       1943,-        322,
-        700,       5031,-        850,-        293,-         80,
-       3325,-        850,       9835,-        848,        261,
       1942,-        293,-        849,    1626390,-     139097,
-        322,-         80,        260,-     139097,    1783877,
matrix          51
      11066,-       1344,-       4063,        324,-       1368,
-       1342,       6401,-       1282,-       1498,         64,
-       4064,-       1282,      11524,        101,        613,
        323,-       1498,        100,    1938397,-     212020,
-       1368,         64,        613,-     212020,    1977374,
matrix          52
      15562,-       2368,-       5115,-        625,-        158,
-       2366,       8397,-       2113,         43,       1504,
-       5116,-       2113,      14018,       1361,-        171,
-        625,         43,       1360,    2354808,-     337383,
-        159,       1503,-        172,-     337383,    2228629,
matrix          53
      21175,-       3578,-       6337,       1720,-        142,
-       3578,      11002,-       3127,-       1937,        595,
-       6339,-       3127,      17199,        222,-       3342,
       1719,-       1938,        222,    2796961,-     441148,
